0	0.754132
1	0.728677
2	0.705885
3	0.684207
4	0.663142
5	0.642562
6	0.622466
7	0.603112
8	0.584452
9	0.566342
10	0.548618
11	0.531250
12	0.514156
13	0.497450
14	0.481244
15	0.465619
16	0.450462
17	0.435773
18	0.421455
19	0.407428
20	0.393789
21	0.380569
22	0.367736
23	0.355243
24	0.343120
25	0.331224
26	0.319764
27	0.308723
28	0.297973
29	0.287545
30	0.277441
31	0.267610
32	0.258216
33	0.249064
34	0.240315
35	0.231841
36	0.223722
37	0.215828
38	0.208290
39	0.201027
40	0.193973
41	0.187048
42	0.180333
43	0.173828
44	0.167468
45	0.161222
46	0.155072
47	0.149083
48	0.143256
49	0.137510
50	0.131909
51	0.126372
52	0.121061
53	0.116009
54	0.111264
55	0.106712
56	0.102418
57	0.098415
58	0.094493
59	0.090651
60	0.086890
61	0.083371
62	0.080046
63	0.076914
64	0.073977
65	0.071216
66	0.068521
67	0.065906
68	0.063372
69	0.060934
70	0.058545
71	0.056205
72	0.053913
73	0.051637
74	0.049393
75	0.047262
76	0.045196
77	0.043195
78	0.041209
79	0.039256
80	0.037368
81	0.035495
82	0.033639
83	0.031847
84	0.030152
85	0.028506
86	0.026892
87	0.025310
88	0.023825
